latitude,longitude,osm_id,name,subdistrict,district,state,country
78.53151330016897,21.593126399676414,4428579332,Fire Brigade,Pandhurna,Chhindwara,Madhya Pradesh,India
81.73850710023018,21.183723199664417,4446184707,Airport Fire Station,Raipur,Raipur,Chhattisgarh,India
81.83988909919171,25.447820599298662,2301227533,Fire Station,Allahabad,Prayagraj,Uttar Pradesh,India
77.99951020010107,27.175086699437507,3759834557, ,Agra,Agra,Uttar Pradesh,India
79.45362349999571,26.00446929966561,4723581163, ,Orai,Jalaun,Uttar Pradesh,India
78.01882280012,30.345079599789422,6115840284,Fire Station,Dehradun,Dehradun,Uttarakhand,India
85.21524930001918,19.762380900449532,2935214942,balugaon fire station,Balugaon,Khordha,Odisha,India
86.36242199987598,23.33204639972968,3822901583, ,Purulia II,Purulia,West Bengal,India
88.35486989933584,22.55789349969627,2813628983,West Bengal Fire Service HQ,Kolkata,Kolkata,West Bengal,India
84.50064699962128,26.802044000401835,2044163259, ,Bettiah,Pashchim Champaran,Bihar,India
88.25506849959147,27.02316500032324,2114145168,Darjeeling Fire Station,Darjeeling Pulbazar,Darjeeling,West Bengal,India
84.09481000038546,18.77672189995188,6593022579, ,Paralakhemundi,Gajapati,Odisha,India
84.99425139996876,19.35826599968083,6392671387,Chatrapur Fire Station,Chhatrapur,Ganjam,Odisha,India
87.29511909954932,23.538462599752336,6757753082, ,Faridpur Durgapur,Paschim Bardhaman,West Bengal,India
88.36176590015769,22.501376100471376,6541779885,Usha fire brigade,Kolkata,Kolkata,West Bengal,India
86.99677290012521,25.25865980056248,4499475491,Malik,Jagdishpur,Bhagalpur,Bihar,India
89.45328969921681,26.320335600271854,4506616174,Cooch Behar Fire Service,Cooch Behar I,Coochbehar,West Bengal,India
84.78954370019748,19.312459000367237,7503415136,Fire station,Brahmapur M Corp,Ganjam,Odisha,India
86.9761021003973,23.685537099877482,7466818593,Asansol Fire Brigade,Barabani,Paschim Bardhaman,West Bengal,India
81.54576239984482,18.18854450059751,8850425161,Fire Station Podia,Podia,Malkangiri,Odisha,India
86.54131569996468,21.51051899964818,9604962402,Kaptipada Fire station,Kaptipada,Mayurbhanj,Odisha,India
86.56987370070064,21.573032100191174,9604825045,Fire Station Udala,Udala,Mayurbhanj,Odisha,India
85.37522940029717,23.982859899883437,8552402076, ,Hazaribag,Hazaribagh,Jharkhand,India
85.04117210058261,25.55989130017742,8411203149,AIIMS Patna Firestation,Phulwari,Patna,Bihar,India
87.0348738999571,23.239888300412264,8294732968,Bankura Fire Station,Bankura I,Bankura,West Bengal,India
88.36062829973304,22.577836699659194,9567719217,C R Avenue Fire Station,Kolkata,Kolkata,West Bengal,India
88.73041220016827,26.515025499702,8039935436,Jalpaiguri Fire Station,Jalpaiguri,Jalpaiguri,West Bengal,India
88.9073582000074,26.345714400376785,8377811524,Mekliganj Fire Brigade,Mekliganj,Coochbehar,West Bengal,India
88.38685410061656,26.724783600004667,8168454969,Matigara Fire Brigade Office,Matigara,Darjeeling,West Bengal,India
91.26938580026199,23.83243660021299,2681745519, ,Sadar,West Tripura,Tripura,India
93.002606799793,24.79256089978741,2388196226,Fire Brigade,Lakhipur,Cachar,Assam,India
94.53156809926641,26.32974680038978,2717151882,Fire Station,Ongpangkong,Mokokchung,Nagaland,India
95.23004219976686,27.822439699663455,3546863558,Jonai Fire Service Station,Jonai,Dhemaji,Assam,India
77.072964500287,28.463706999681943,332066858,Sushant Lok Fire Station,Gurgaon,Gurugram,Haryana,India
77.1669817000192,28.572801200395578,372717372, ,Vasant Vihar,New Delhi,Delhi,India
77.18431219970309,28.56856690026176,1114871812,Fire Station,Vasant Vihar,New Delhi,Delhi,India
75.86335820007443,29.343755600619552,348323469,Thermal Plant,Hisar,Hisar,Haryana,India
74.02709550031413,30.406929500211877,1248415462,Fire Brigade,Fazilka,Fazilka,Punjab,India
75.5415021006198,30.373245999801714,835661329,Fire Brigade Station,Barnala,Barnala,Punjab,India
74.61356709962496,30.918433700599962,1349277499,Cantonment Board Ferozepur,Firozpur,Firozepur,Punjab,India
75.87392229978079,30.270854000058616,1485625688,Bhatha,Sangrur,Sangrur,Punjab,India
75.88690419980296,30.280007400136082,1485625760,Bhatha,Sangrur,Sangrur,Punjab,India
75.93054470036023,30.070610499847188,1481122651,Bhatha,Sunam,Sangrur,Punjab,India
75.93122059996654,30.07912430004429,1481130480,Bhatha,Sunam,Sangrur,Punjab,India
75.85045989996753,30.91931359950273,1487554971,Firebrigade Station,Ludhiana East,Ludhiana,Punjab,India
76.85832169937468,30.69540910040656,842987834, ,Panchkula,Panchkula,Haryana,India
77.17294900004246,31.10476789983008,1012095695,Shimla Fire Station,Shimla urban,Shimla,Himachal Pradesh,India
88.49894689956021,27.2330317000775,4925330240,Singtam firestation,Gangtok,East District,Sikkim,India
88.61398669994686,27.33210400002616,8058855486, ,Gangtok,East District,Sikkim,India
91.37596350031664,23.828958100231027,6746947176,Ranirbazar fire service station,Jirania,West Tripura,Tripura,India
91.29061490024404,23.858126700095628,6754560852, ,Sadar,West Tripura,Tripura,India
91.28506050006136,23.825448799408395,9231655517,Maharajgang,Sadar,West Tripura,Tripura,India
94.10407869951364,25.71350890025901,6255335872,Fire Brigade,Chiephobozou,Kohima,Nagaland,India
93.96100839990565,26.498312999800174,7037458773,Golaghat Fire Brigade,Golaghat,Golaghat,Assam,India
94.15791089958299,26.97478049983592,5265565022,Garamur fire & emergency services station,Majuli,Majuli,Assam,India
75.75732720032866,26.93695219947276,4427339589, ,Jaipur,Jaipur,Rajasthan,India
77.07962719964644,28.662320500290498,2683027313, ,Punjabi Bagh,West,Delhi,India
77.14403459990407,28.65924770040236,2681845832, ,Patel Nagar,West,Delhi,India
77.13900340010241,28.63299619993692,6225480221,Fire Station Naraina,Delhi Cantonment,New Delhi,Delhi,India
77.0640234999922,28.597317699398175,4438230893,Sector 6 Fire Station,Dwarka,South West,Delhi,India
77.09474379951595,28.548203399656806,6297789748,Fire Station 1,Vasant Vihar,New Delhi,Delhi,India
77.19036459982814,28.602643999932063,5136715532,Fire Station Chanakyapuri,Chanakya Puri,New Delhi,Delhi,India
77.20764460071833,28.62143489999457,5483331672, ,Chanakya Puri,New Delhi,Delhi,India
77.21310959966563,28.58630379981587,5715392712,Fire Station Jor Bagh,Defence Colony,South East,Delhi,India
77.18120659979837,28.64707560002684,2165822097, ,Karol Bagh,Central,Delhi,India
77.21609700014358,28.659476000083306,6539125899, ,Sadar Bazar,Central,Delhi,India
77.20437159976042,28.65636420012093,2714360373, ,Pahar Ganj,Central,Delhi,India
75.23611639989709,30.277862600222072,1957973153,"Fire Brigade,Rampura Phul",Rampura Phul,Bathinda,Punjab,India
74.79780109992312,34.07470370008201,5936065433, ,Srinagar North,Srinagar,Jammu And Kashmir,India
76.2024233002741,29.955439899962055,4344846604,Shamshan Ghat Arnetu,Guhla,Kaithal,Haryana,India
76.86341319948812,31.411476700509052,5763462267, ,Sundarnagar,Mandi,Himachal Pradesh,India
76.94447579989796,31.701980000133307,5577800978,Fire Station Mandi,Mandi,Mandi,Himachal Pradesh,India
76.53913540013097,32.11680760004002,2888418501,Agnishaman Kendra,Palampur,Kangra,Himachal Pradesh,India
76.28330389931246,32.09808080008916,6611410538, ,Kangra,Kangra,Himachal Pradesh,India
76.31812490031035,32.215154999837466,5087818814,Dharamsala Fire Brigade,Dharmsala,Kangra,Himachal Pradesh,India
74.6204272998878,34.29054340035043,7677301202,Fire Service Station,Hajin,Bandipora,Jammu And Kashmir,India
79.35138019993306,13.685232299904667,405392184,Tirumala Fire Station,Tirupati Urban,Chittoor,Andhra Pradesh,India
80.23568160033031,13.06377649943737,264480826, ,Chennai,Chennai,Tamil Nadu,India
80.24911899920217,13.047446900036588,302899362,Teynampet FS,Chennai,Chennai,Tamil Nadu,India
78.48551370060639,17.443083200386802,582824404,S P Road Fire Station,Secunderabad,Hyderabad,Telangana,India
80.14890610009076,17.256674300522047,798089786, ,Raghunadhapalem,Khammam,Telangana,India
73.44867890011987,25.18885269975438,8909040185, ,Desuri,Pali,Rajasthan,India
74.79229760008104,33.99832479984239,9067256077,Fire Service Station,Budgam,Budgam,Jammu And Kashmir,India
74.78709620007577,34.09525649993449,9107554153,Fire and Emergency Station Safakadal,Srinagar North,Srinagar,Jammu And Kashmir,India
74.80052830068409,34.09162659983147,9107548687,Fire and Emergency Station S.H Pora,Srinagar South,Srinagar,Jammu And Kashmir,India
75.11752869970255,33.92577609994624,9642669885,Fire Service Station,Tral,Pulwama,Jammu And Kashmir,India
